49,KING ROBERT II FINEST SCOTCH WHISKY 0.70L,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้  0.70 ลิตร,12,0.70,40.00%,957,0, 957 ," 11,484 ", 670 ,,,
50, ROBERT MONDAVI CABERNET SAUVIGNON   0.75L/12B/14.50%,โรเบิดร์ โมเดวี่ กาแบร์เน - โซวีญง 0.75 ลิตร,12,0.75,14.50%,60,0, 60 ,,,,,
51, ROBERT MONDAVI  MESTRO  2014   0.75L/6B/14.5%,โรเบิดร์ โมเดวี่ มาสโทร - โซวีญง 0.75 ลิตร,6,0.75,14.50%,125,25, 100 ,,,,,
52, ROBERT MONDAVI  OAKVILLE   2014   0.75L/6B/15%,โรเบิดร์ โมเดวี่  โอ๊ควิล - โซวีญง 0.75 ลิตร,6,0.75,15.00%,155,35, 120 ,,,,,
53,ROBERT MONDAVI  PRIVATE SELECTION CABERNET SAUVIGNON 2015   0.75L/12B/13.5%,โรเบิดร์ โมเดวี่  โอ๊ควิล -ไพรเวส 0.75 ลิตร,12,0.75,13.50%,17,17, -   ,,,,,
54, OPUS ONE   2014 0.75L/12B/14.5%,อูป วัน,6,0.75,14.50%,3,0, 3 ,,,,,
55,ROBERT MODAVI NAPA VALLEY CABERNET,โรเบิดร์ โมเดวี่ นาป้า เวลลี่ กาแบร์เน - โซวีญง 0.75 ลิตร,12,0.75,15.00%,416,0, 416 ," 4,992 ", 312 ,,,
56,FAMOUS GROUSE             0.70L,เฟมาส เกราซ  0.70 ลิตร,12,0.70,40.00%,20,0, 20 , 240 , 14 ,,,
57,HENNESSY VSOP 1L,เฮนเนส ซี่ วี-ช็อป 1 ลิตร,12,1.00,40.00%,13,0, 13 , 156 , 13 ,,,
58,HENNESSY XO 1L,เฮนเนส ซี่  เอ็ก-โอ 1 ลิตร,6,1.00,40.00%,1,0, 1 , 6 , 1 ,,,
59,CHIVAS REGAL 25YO 0.70L,ชีวาส รีกัล 25 ปี 0.70 ลิตร,3,0.70,40.00%,49,0, 49 , 147 , 34 ,,,
60,GLENFIDDICH 12YO  1L,เกลนฟิดิด 12 ปี  1 ลิตร,12,1.00,40.00%,24,0, 24 , 288 , 24 ,,,
61,GLENFIDDICH 15YO  1L,เกลนฟิดิด 15 ปี 1 ลิตร,12,1.00,40.00%,2,0, 2 , 24 ,,,,
62,GLENFIDDICH 19YO  AGE OF DISCOVERY RED WINE ,เกลนฟิดิด 19 ปี  0.7 ลิตร,6,0.70,40.00%,1,0, 1 ,,,,,
63,GLENFIDDICH  19YO  AGE OF DISCOVERY BOURBON  0.70L/6B/40%,เกลนฟิดิด 19 ปี บลูบอน   0.7 ลิตร,6,0.70,40.00%,5,0, 5 ,,,,,
64,GLENFIDDICH  19YO  AGE OF DISCOVERY  MADEIRO  0.70L/6B/40%,เกลนฟิดิด 19 ปี มาร์ดิโอ้    0.7 ลิตร,6,0.70,40.00%,7,3, 4 ,,,,,
66,BALLANTINE'S 17YO  0.70L,บาเลนไทน์ 17 ปี  0.75 ลิตร,12,0.70,40.00%,7,0, 7 ,,,,,
67,BALLANTINE'S  21YO  0.70L,บาเลนไทน์ 21ปี  0.70 ลิตร,12,0.70,40.00%,20,0, 20 , 240 , 14 ,,,
68,BALLANTINE'S  30 YO  0.70L/6B/40%,บาเลนไทน์  30ปี  0.70 ลิตร,6,0.70,40.00%,5,0, 5 ,,,,,
69,MARTELL CORDON BLEU 0.70L,มาเตล กอร์ดอง บลู 0.70 ลิตร ,12,0.70,40.00%,4,0, 4 , 48 , 3 ,,,
73,GLENLIVET MASTER DIST. RES. 1L,เดอะ เกลนลิเวต มาสเตอร์  1 ลิตร,12,1.00,40.00%,36,0, 36 , 432 , 36 ,,,
74,SMIRNOFF RED                       1L.,สเมอร์นอฟ เรด 1 ลิตร,8,1.00,40.00%,1,0, 1 , 8 , 1 ,,,
75,CHIVAS  REGAL 12 YO  4.5 L,ชีวาส รีกัล 12 ปี 4.5 ลิตร,2,4.50,40.00%,2,0, 2 , 4 , 9 ,,,
78,JW  ISLAND GREEN  1L,จอห์น วอลเกอร์ ไอซ์แลนด์  กรีน 1 ลิตร,6,1.00,43.00%,5,0, 5 ,,,,,
79,MONKEY  SHOULDER 1L,มั้งกี้ โชลเดอร์ 1ลิตร,6,1.00,40.00%,8,0, 8 , 48 , 8 ,,,
80,MONKEY  SHOULDER 0.70L,มั้งกี้ โชลเดอร์ 1ลิตร,6,0.70,40.00%,90,0, 90 ,,,,,
82,LAPHROAIG 10YO 0.70L,ลา-ฟอย 10 ปี 0.70 ลิตร,6,0.70,40.00%,5,0, 5 , 30 , 4 ,,,
83,WOODBRIDGE  BY  MONDAVI  MERLOT   0.75L,วูดบริดจ์ มอนเดวี่ เมอร์ล๊อท 0.75 ลิตร,12,0.75,13.50%,244,0, 244 ," 2,928 ", 183 ,,,
84,WOODBRIDGE BY MONDAVI PINOT   0.75L,วูดบริดจ์ มอนเดวี่ พิโน-นัวร์ 0.75 ลิตร,12,0.75,13.00%,22,0, 22 ,,,,,
85, WOODBRIDGE BY MONDAVI ZINFANDEL   0.75L,วุดบริดจ์  มอนเดวี่ ซินแฟนเดล 0.75 ลิตร,12,0.75,13.50%,27,0, 27 , 324 , 20 ,,,
86,WOODBRIDGE CABERNET SAUVIGNON    0.75L/12B/13.50%,วุดบริดจ์  คาร์เบอเน็ต ซาร์วิญอง 0.75 ลิตร,12,0.75,13.50%,267,0, 267 ,,,,,
87,HOEGAARDEN BEER BOTTLE  0.33,โฮการ์เดนท์  เบียร  0.33 ลิตร,6,0.33,4.90%,554,554, -   , -   , -   ,,,
89,MONTON CADET ROUGE 2015 A.O.C. BORDEAUX  12B/75CL/13.50%,มูตอง คาร์เดต 2015,12,0.75,13.50%,87,0, 87 ,,,,,
90,MONTON CADET ROUGE 2016 A.O.C.BORDEAUX  12B/75CL/13.50%,มูตอง คาร์เดต 2016 ,12,0.75,13.50%,233,0, 233 ,,,,,
93,ROBERT MONDAVI  WINERY  CABERNET SAUVIGNON  NAPA VALLEY 2015 ,โรเบริด มอนเดวี่ วินนี่  คาร์เบอร์เน็ต ซาวิญอง นาป้า เวลลี่ 2014,12,0.75,15.00%,50,0, 50 ,,,,,
