ลำดับที่,รหัสสินค้า,รายละเอียดสินค้า,ชื่อภาษาไทย,"ปริมาณขวด
(ต่อ 1 ลัง)","ปริมาณ
ต่อขวด
(ลิตร)","Alcohol
Content",
51,C-023,CH. CLERC MILON  2013 ,ตุ๊กตาคู่ 2013,12, 0.750 ,13.50%,
52,C-024,CH. CLERC MILON  2014 ,ตุ๊กตาคู่ 2014,12, 0.750 ,13.50%,
53,C-025,CK MONDAVI CABERNET ,ซี เค มอนเดวี่ คาร์เบอเน็ต,12, 0.750 ,13.60%,
54,C-026,CIROC  VODKA  ,คิรอก วอดก้า,8, 0.750 ,40.00%,
55,C-027,CIROC  VODKA  ,คิรอก วอดก้า,12, 0.750 ,40.00%,
56,C-028,CORONA EXTRA BOTTLE ,คอโรน่า เอ๊กตร้า,24, 0.355 ,4.50%,
57,C-029,CH. CLERC MILON  2000,ตุ๊กตาคู่ 2010,12, 0.750 ,12.50%,
58,C-030,CH. CLERC MILON  1998,ตุ๊กตาคู่ 1998,12, 0.750 ,12.50%,
59,C-031,CH. CLERC MILON  1995,ตุ๊กตาคู่ 1995,12, 0.750 ,12.50%,
60,C-032,CHATEAU LA MISSION HAUT-BRION 1958 PESSAC-LEOGNAN ROUGE AOC,ชาโต้ ลา มิสชั่น,1, 0.750 ,12.50%,
61,C-033,CHATEAU TALBOT 1959 SAINT-JULIEN AOC,ชาโต้ ทาวบ็อต,1, 0.750 ,12.50%,
62,C-034,CHATEAU MOUTON ROTHSCHILD 1958 PAUILLAC AOC,ชาโต้ มูต้อง,1, 0.750 ,12.50%,
63,C-035,CHATEAU MONTROSE 1990 - SAINT-ESTEPHE AOC,ชาโต้ มอนโตรส,4, 0.750 ,13.00%,
64,C-036,CHATEAU CANON LA GAFFELIERE 1985 - SAINT-EMILION GRAND CRU AOC,ชาโต้ แคนอน,6, 0.750 ,12.50%,
65,C-037,CHATEAU PICHON COMTESSE DE LALANDE 1955 - PAUILLAC AOC,ชาโต้ พิชอน 1995,2, 0.750 ,12.50%,
66,C-038,CHATEAU MARGAUX 1994 - MARGAUX AOC,ชาโต้ มาก๊อก,6, 0.750 ,12.50%,
67,C-039,CHATEAU PICHON COMTESSE DE LALANDE 2012 - PAUILLAC AOC,ชาโต้ พิชอน 2012,24, 0.750 ,13.00%,
68,C-040,CHATEAU CLERC MILON 2015 - PAUILLAC AOC,ตุ๊กตาคู่ 2015,120, 0.750 ,13.50%,
69,C-041,CHATEAU COS D'ESTOURNEL 2012 -SAINT-ESTEPHE AOC,ชาโต้ คอส,108, 0.750 ,14.00%,
70,C-042,CHATEAU LA MISSION HAUT-BRION 1988 - PESSAC-LEOGNAN AOC,ชาโต้ ลา มิสชั่น 1988,12, 0.750 ,12.50%,
71,C-043,CHATEAU LA MISSION HAUT-BRION 1984 - PESSAC-LEOGNAN AOC,ชาโต้ ลา มิสชั่น 1984,12, 0.750 ,12.50%,
72,C-044,CHATEAU MOUTON ROTHSCHILD 1990 -  PAUILLAC AOC,ชาโต้ มูต้อง 1990,12, 0.750 ,12.50%,
73,C-045,CHATEAU PICHON COMTESSE DE LALANDE 2011 -PAUILLAC AOC,ชาโต้ พิชอน 2011,96, 0.750 ,13.00%,
74,C-046,CHATEAU MONTROSE 2011 - SAINT-ESTEPHE AOC,ชาโต้ มอนโตรส 2011,120, 0.750 ,13.00%,
75,C-047,CHATEAU COS D'ESTOURNEL 2008 - SAINT-ESTEPHE AOC,ชาโต้ คอส 2008,12, 0.750 ,13.50%,
76,C-048,CARLO ROSSI CALIFORNIA RED,คาโรล รอสซี่,6, 1.500 ,12.00%,
77,D-001,DE MULLER VINO DE MISA DULCE SUPERIOR ,เดอ มูลเล่อ วีโน่,12, 0.750 ,13.50%,
78,D-002,DE BORTOLI DB FAMILY SELECTION MERLOT,เดอ บอโทลี่ ดีบี,12, 0.750 ,14.00%,
79,D-003,DALMORE 12YO,ดัลมอร์ล 12 ปี,12, 1.000 ,40.00%,
80,D-004,DALMORE 12YO,ดัลมอร์ล 12 ปี,6, 0.700 ,40.00%,
81,D-005,DALMORE 15YO,ดัลมอร์ล 15 ปี,12, 1.000 ,40.00%,
82,D-006,DALMORE 18YO,ดัลมอร์ล 18 ปี,6, 0.700 ,43.00%,
83,D-007,DALMORE CIGAR SINGLE MALT ,ดัลอม์ล ซิกก้าร์ ,6, 0.700 ,44.00%,
84,D-008,DALMORE CIGAR SINGLE MALT ,ดัลอม์ล ซิกก้าร์ ,12, 1.000 ,44.00%,
85,D-009,DALMORE CIGAR SINGLE MALT ,ดัลอม์ล ซิกก้าร์ ,6, 0.750 ,44.00%,
86,D-010,DALMORE KING ALEXANDER III SINGE SING MALT ,ดัลมอม์ล คิง,6, 0.700 ,40.00%,
87,F-001,FAMOUS GROUSE  ,เฟมาส เกราซ  0.70 ลิตร,12, 0.700 ,40.00%,
88,G-001,GLENFIDDICH  12 YO ,เกลนฟิดิด 12 ปี  0.7 ลิตร,12, 0.700 ,40.00%,
89,G-002,GLENFIDDICH  12 YO,เกลนฟิดิด 12 ปี  1 ลิตร,12, 1.000 ,40.00%,
90,G-003,GLENFIDDICH  15 YO,เกลนฟิดิด 15 ปี 0.7 ลิตร,12, 0.700 ,40.00%,
91,G-004,GLENFIDDICH  15 YO ,เกลนฟิดิด 15 ปี 1 ลิตร,12, 1.000 ,40.00%,
92,G-005,GLENFIDDICH  18 YO ,เกลนฟิดิด 18 ปี 0.7 ลิตร,12, 0.700 ,40.00%,
93,G-006,GLENFIDDICH 19YO AGE OF DISCOVERY RED WINE ,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ เรส ไวน์,6, 0.700 ,40.00%,
94,G-007,GLENFIDDICH  19YO  AGE OF DISCOVERY BOURBON ,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ บลูบอน,6, 0.700 ,40.00%,
95,G-008,GLENFIDDICH  19YO  AGE OF DISCOVERY MADEIRO  ,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ มาร์ดิโอ้,6, 0.700 ,40.00%,
96,G-009,GLENLIVET 15YO FRENCE OAK,เกรลลิเวท 15 ปี,6, 0.700 ,40.00%,
97,G-010,GLENLIVET MASTER DIST. RES. ,เกรบลิเวท มาสเต้อ,12, 1.000 ,40.00%,
98,G-011,GUINNESS STOUT,เกรนลิเวท สะเต้า,24, 0.330 ,6.80%,
99,G-012,GREY GOOSE VODKA,เกรกูส วอดก้า 1 ลิตร,6, 1.000 ,40.00%,
100,G-013,GLENFIDDICH 12 YO MALT,เกรนฟิดิช 12 ปี,12, 0.750 ,40.00%,
101,G-014,GLENLIVET 18YO,เกรนลิเวท 18 ปี,6, 0.750 ,43.00%,
102,G-015,GLENLIVET 12YO FIRST FILL,เกรนลิเวท 12 ปี,6, 0.700 ,40.00%,
103,H-001,HENNESSY VSOP ,เฮนเนส ซี่ วี-ช็อป 1 ลิตร,12, 1.000 ,40.00%,
104,H-002,HENNESSY XO,เฮนเนส ซี่  เอ็ก-โอ ,6, 0.700 ,40.00%,
105,H-003,HENNESSY XO,เฮนเนส ซี่  เอ็ก-โอ 1 ลิตร,6, 1.000 ,40.00%,
106,H-004,HOEGAARDEN ROSEE BOTTLE ,ฮูการ์เดนโรเซ่วีทเบียร์,24, 0.250 ,3.00%,
