ลำดับที่,รหัสสินค้า,รายละเอียดสินค้า,ชื่อภาษาไทย,"ปริมาณขวด
(ต่อ 1 ลัง)","ปริมาณ
ต่อขวด
(ลิตร)","Alcohol
Content",
203,T-004,TEQUILA PATRON SILVER ,เตกีล่า พาตรอน ซิลเวอร์ 0.75 ลิตร,12, 0.750 ,40.00%,
204,U-001,URSUS  VODKA  NATUR ,เออซัส วอดก้า ,6, 1.000 ,40.00%,
205,U-002,URSUS  VODKA  NATUR ,เออซัส วอดก้า ,2, 1.000 ,40.00%,
206,V-001,VIVRA CABERNET,วีร่า แคเบอร์เน็ต,6, 0.750 ,14.80%,
207,W-001,WOODBRIDGE BY MONDAVI MERLOT   ,วูดบริดจ์ มอนเดวี่ เมอร์ล๊อท 0.75 ลิตร,12, 0.750 ,13.50%,
208,W-002,WOODBRIDGE CABERNET SAUVIGNON ,วุดบริดจ์  คาเบอเน็ต ซาวิญอง  0.75 ลิตร,12, 0.750 ,13.50%,
209,W-003,WOODBRIDGE BY MONDAVI PINOT NOIR,วูดบริดจ์ มอนเดวี่ พิโน-นัวร์ 0.75 ลิตร,12, 0.750 ,13.00%,
210,W-004,WOODBRIDGE BY MONDAVI ZINFANDEL,วุดบริดจ์  มอนเดวี่ ซินแฟนเดล 0.75 ลิตร,12, 0.750 ,13.50%,
211,W-005,WOODBRIDGE BY ROBERT MONDAVI CABERNET SAUVIGNON CALIFORNIA 2016,วุดบริดจ์ คาเบอเน็ต ซาวิญอง,12, 0.750 ,13.50%,
212,W-006,WOODBRIDGE CABERNET ,วุดบริดจ์  คาเบอเน็ต,12,0.750,15.00%,
213,W-007,WHISKY PASSPORT SCOTCH ,พาสปอร์ต,12,1.000,40.00%,
214,Z-001,ZIPZ CABERNET SAUVIGNON ,ซิป กาแบร์เน-โซวีญง   0.187 ลิตร,24, 0.187 ,13.50%,
215,Z-002,ZIPZ CARDONNAY,ซิป ชาร์ดอนเนย์  ไวท์ ไวน์ 0.187 ลิตร,24, 0.187 ,13.50%,
216,Z-003,ZIPZ MOSCATO ,ซิป มอสกาโต้ 0.187 ลิตร,24, 0.187 ,13.50%,
217,1-001,100 PIPERS ,ฮันเรส ไพเพร้อ,9, 1.000 ,40.00%,
218,2-001,II FITTO SYRAH DOC CORTONA 2012 ,ฟิตโต2 ไซร่า,12, 0.750 ,14.00%,
219,2-002,II FITTO SANGIOVESE DOC CORTONA 2013,ฟิตโต2 แซงโกรงวีส,12, 0.750 ,14.00%,
220,2-003,II FITTO AMPELOS ROSSO DI TOSCANA 2013 ,ฟิตโต2 ไซร่า แอมเพอรอส,12, 0.750 ,12.50%,
