รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-027,CIROC VODKA  ,12, 0.750 ,40.00%,22086000,วอดก้า,FR,1302020200FPy000000259AK0701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,6,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,746, 135.00 ,32.8452," 3,307,840.09 ",746," 4,434.10 ",คิรอก วอดก้า,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-028,CORONA EXTRA BOTTLE ,24, 0.355 ,4.50%,22030091,เบียร์,MX,1301010000GKD000000990090701,01/08/2018,หลัก,,,,,,,,,,,,,,,,คอโรน่า เอ๊กตร้า,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-029,CH.CLERC MILON 2000,12, 0.750 ,12.50%,22042111,ไวน์,FR,1301020200Knq003Mk0LX0140701,16/05/2019,หลัก,JLD06/2019   ,02/05/2019,A0280620507084,28/05/2019,6,2562/0050-62-853-00236,16/05/2019,3-2-42-118498-2562,11/01/2019,2," 1,200.00 ",32.0022," 76,805.28 ",1," 38,402.64 ",ตุ๊กตาคู่ 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-030,CH.CLERC MILON 1998,12, 0.750 ,12.50%,22042111,ไวน์,FR,1301020200Knr003Mk0LX0140701,16/05/2019,หลัก,JLD06/2019   ,02/05/2019,A0280620507084,28/05/2019,7,2562/0050-62-853-00236,16/05/2019,3-2-42-118498-2562,11/01/2019,2," 1,140.00 ",32.0022," 72,965.02 ",1," 36,482.51 ",ตุ๊กตาคู่ 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-031,CH.CLERC MILON 1995,12, 0.750 ,12.50%,22042111,ไวน์,FR,1301020200Kns003Mk0LX0140701,16/05/2019,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-032,CHATEAU LA MISSION HAUT-BRION 1958 PESSAC-LEOGNAN ROUGE AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMQ003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ ลา มิสชั่น,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-033,CHATEAU TALBOT 1959 SAINT-JULIEN AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMR003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ ทาวบ็อต,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-034,CHATEAU MOUTON ROTHSCHILD 1958 PAUILLAC AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMS003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ มูต้อง,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-035,CHATEAU MONTROSE 1990-SAINT-ESTEPHE AOC,1, 0.750 ,13.00%,22042111,ไวน์,CL,1301020200OMT003Lw0300140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ มอนโตรส,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-036,CHATEAU CANON LA GAFFELIERE 1985-SAINT-EMILION GRAND CRU AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMU003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ แคนอน,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-037,CHATEAU PICHON COMTESSE DE LALANDE 1955-PAUILLAC AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMV003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ พิชอน 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-038,CHATEAU MARGAUX 1994-MARGAUX AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMW003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ มาก๊อก,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-039,CHATEAU PICHON COMTESSE DE LALANDE 2012-PAUILLAC AOC,4, 0.750 ,13.00%,22042111,ไวน์,CL,1301020200OMX003Lw0300140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ พิชอน 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-040,CHATEAU CLERC MILON 2015-PAUILLAC AOC,20, 0.750 ,13.50%,22042111,ไวน์,CL,1301200200OMY003Lw0310140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-041,CHATEAU COS D'ESTOURNEL 2012-SAINT-ESTEPHE AOC,18, 0.750 ,14.00%,22042111,ไวน์,CL,1301020200OMZ003Lw0320140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ คอส,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-042,CHATEAU LA MISSION HAUT-BRION 1988-PESSAC-LEOGNAN AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMe003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ ลา มิสชั่น 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-043,CHATEAU LA MISSION HAUT-BRION 1984-PESSAC-LEOGNAN AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMf003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ ลา มิสชั่น 1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-044,CHATEAU MOUTON ROTHSCHILD 1990-PAUILLAC AOC,1, 0.750 ,12.50%,22042111,ไวน์,CL,1301020200OMg003Lw0290140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ มูต้อง 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-045,CHATEAU PICHON COMTESSE DE LALANDE 2011-PAUILLAC AOC,8, 0.750 ,13.00%,22042111,ไวน์,CL,1301020200OMh003Lw0300140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ พิชอน 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-046,CHATEAU MONTROSE 2011-SAINT-ESTEPHE AOC,10, 0.750 ,13.00%,22042111,ไวน์,CL,1301020200OMi003Lw0300140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ มอนโตรส 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-047,CHATEAU COS D'ESTOURNEL 2008-SAINT-ESTEPHE AOC,1, 0.750 ,13.50%,22042111,ไวน์,CL,1301020200OMj003Lw0310140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,ชาโต้ คอส 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-048,CARLO ROSSI CALIFORNIA RED,6, 1.500 ,12.00%,22042111,ไวน์,US,1301020100B0O003PN0280870701,14/02/2020,หลัก,JLD03/2020,12/02/2020,A0210630204398,20/02/2020,1,2563/0050-63-853-00190,14/02/2020,3-2-42-000175-2563,15/01/2020,1100, 26.00 ,30.5822," 874,650.92 ",1100, 795.14 ,คาโรล รอสซี่,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-001,DE MULLER VINO DE MISA DULCE SUPERIOR ,12, 0.750 ,13.50%,22042111,ไวน์,ES,1301020100GL9000000313hE0701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เดอ มูลเล่อ วีโน่,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-002,DE BORTOLI DB FAMILY SELECTION MERLOT,12, 0.750 ,14.00%,22042111,ไวน์,AU,1301020100GLJ000000320140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เดอ บอโทลี่ ดีบี,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-003,DALMORE 12YO,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200RUT000000250150701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลมอร์ล 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-004,DALMORE 12YO,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200RUT000000250130701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลมอร์ล 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-005,DALMORE 15YO,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200PUB000000250150701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลมอร์ล 15 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-006,DALMORE 18YO,6, 0.700 ,43.00%,22083000,วิสกี้,GB,1302020200Vw1000000677990701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลมอร์ล 18 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-007,DALMORE CIGAR SINGLE MALT ,6, 0.700 ,44.00%,22083000,วิสกี้,GB,1302020200Wpd000000bT7990701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลอม์ล ซิกก้าร์ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-008,DALMORE CIGAR SINGLE MALT ,12, 1.000 ,44.00%,22083000,วิสกี้,GB,1302020200Wpd000000bT0150701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลอม์ล ซิกก้าร์ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-009,DALMORE CIGAR SINGLE MALT ,6, 0.750 ,44.00%,22083000,วิสกี้,GB,1302020200Wpd000000bT0140701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลอม์ล ซิกก้าร์ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-010,DALMORE KING ALEXANDER III SINGLE MALT ,6, 0.750 ,44.00%,22083000,วิสกี้,GB,1302020200Wpe000000257990701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ดัลมอม์ล คิง,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-001,FAMOUS GROUSE  ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202003vq000000250130701,07/09/2018,หลัก,JLD11/2018  ,03/09/2018,A0110610905765,11/09/2018,4,2561/0050-61-853-00434,07/09/2018,3-2-42-114049-2561,12/01/2018,20, 56.00 ,33.1120," 37,085.44 ",15," 1,854.27 ",เฟมาส เกราซ  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-001,GLENFIDDICH 12YO ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202006yX000000250130701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เกลนฟิดิด 12 ปี  0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-002,GLENFIDDICH 12YO,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202006yX000000250150701,10/10/2017,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,9,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,30, 260.00 ,30.7012," 239,469.36 ",29," 7,982.31 ",เกลนฟิดิด 12 ปี  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-003,GLENFIDDICH 15YO,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202004w9000000250130701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เกลนฟิดิด 15 ปี 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-004,GLENFIDDICH 15YO ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202004w9000000250150701,10/10/2017,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,10,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,15, 360.00 ,30.7012," 165,786.48 ",10," 11,052.43 ",เกลนฟิดิด 15 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-005,GLENFIDDICH 18YO ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202006yZ000000250130701,01/08/2018,หลัก,JLD15/2019  ,17/12/2019,A0250621203797,23/12/2019,6,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,5, 430.00 ,30.3796," 65,316.14 ",3," 13,063.23 ",เกลนฟิดิด 18 ปี 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-006,GLENFIDDICH 19YO AGE OF DISCOVERY RED WINE ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Uwb000000250130701,02/02/2018,หลัก ,,,,,,,,,,,,,,,,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ เรส ไวน์,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-007,GLENFIDDICH 19YO AGE OF DISCOVERY BOURBON ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200VW9000000250130701,10/09/2018,หลัก,,,,,,,,,,,,,,,,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ บลูบอน,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-008,GLENFIDDICH 19YO AGE OF DISCOVERY MADEIRO  ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Vby000000250130701,05/11/2018,หลัก,,,,,,,,,,,,,,,,เกลนฟิดิด 19 ปี  ดิสโคเวอรี่ มาร์ดิโอ้,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-009,GLENLIVET 15YO FRENCE OAK,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Uwc000000250130701,02/02/2018,หลัก ,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,5,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 201.00 ,31.3800," 126,147.60 ",20," 6,307.38 ",เกรลลิเวท 15 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-010,GLENLIVET MASTER DIST. RES. ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200Og8000000250150701,04/12/2017,หลัก ,JLD11/2018,  03/09/2018,A0110610905765,11/09/2018,7,2561/0050-61-853-00434,07/09/2018,3-2-42-114049-2561,12/01/2018,13, 251.00 ,33.1120," 108,044.46 ",3," 8,311.11 ",เกรบลิเวท มาสเต้อ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-011,GUINNESS STOUT,24, 0.330 ,6.80%,22030091,เบียร์,IE,1301010000306000000CF0550701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,เกรนลิเวท สะเต้า,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-012,GREY GOOSE VODKA,6, 1.000 ,40.00%,22086000,วอดก้า,FR,1302020200MyW000000250150701,27/02/2019,หลัก,,,,,,,,,,,,,,,,เกรกูส วอดก้า 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-013,GLENFIDDICH 12YO MALT,12, 0.750 ,40.00%,22083000,วิสกี้,GB,,,หลัก,,,,,,,,,,,,,,,,เกรนฟิดิช 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-014,GLENLIVET 18YO,6, 0.750 ,43.00%,22083000,วิสกี้,GB,13020202006hN000000679AK0701,18/03/2020,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,3,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,5, 305.00 ,31.3800," 47,854.50 ",5," 9,570.90 ",เกรนลิเวท 18 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-015,GLENLIVET 12YO FIRST FILL,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Wpb000000257990701,18/03/2020,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,7,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 140.00 ,31.3800," 87,864.00 ",20," 4,393.20 ",เกรนลิเวท 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-001,HENNESSY VSOP ,12, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200Jmj000000250150701,10/10/2017,หลัก ,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,10,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,50, 730.00 ,31.0324," 1,132,682.60 ",36," 22,653.65 ",เฮนเนส ซี่ วี-ช็อป 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-001,HENNESSY VSOP ,12, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200Jmj000000250150701,10/10/2017,หลัก ,JLD15/2019 ,17/12/2019,A0250621203797,23/12/2019,4,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,20, 730.00 ,30.3796," 443,542.16 ",20," 22,177.11 ",เฮนเนส ซี่ วี-ช็อป 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-001,HENNESSY VSOP ,12, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200Jmj000000250150701,10/10/2017,หลัก ,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,2,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 730.00 ,31.3800," 458,148.00 ",20," 22,907.40 ",เฮนเนส ซี่ วี-ช็อป 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-002,HENNESSY XO,6, 0.700 ,40.00%,22082050,บรั่นดี,FR,1302020200OTW000000250130701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,เฮนเนส ซี่  เอ็ก-โอ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-003,HENNESSY XO,6, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200OTW000000250150701,04/12/2017,หลัก ,JLD08/2019 ,26/07/2019,A0080620812781,08/08/2019,11,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,20," 1,400.00 ",31.0324," 868,907.20 ",5," 43,445.36 ",เฮนเนส ซี่  เอ็ก-โอ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-003,HENNESSY XO,6, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200OTW000000250150701,04/12/2017,หลัก ,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,1,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,10," 1,400.00 ",31.3800," 439,320.00 ",10," 43,932.00 ",เฮนเนส ซี่  เอ็ก-โอ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-004,HOEGAARDEN ROSEE BOTTLE ,24, 0.250 ,3.00%,22030091,เบียร์,BE,13010100003v3000000JG4q70701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,ฮูการ์เดนโรเซ่วีทเบียร์,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-005,HOEGAARDEN WHITE  BOTTLE,24, 0.330 ,4.90%,22030091,เบียร์,BE,13010100003SE000000973h10701,10/11/2017,หลัก ,,,,,,,,,,,,,,,,ฮูการ์เดน ไวน์ เบียร์,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-006,HOEGAARDEN BEER BOTTLE ,24, 0.330 ,4.90%,22030091,เบียร์,BE,13010100003SE000000973h10701,10/11/2017,หลัก ,,,,,,,,,,,,,,,,ฮูการ์เดน  เบียร์  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-007,HAVANA CLUB 7YO,12, 0.750 ,40.00%,22084000,รัม,CU,13020202004TK000000250140701,15/03/2019,หลัก,,,,,,,,,,,,,,,,ฮาวาน่า คลับ 7 ปี ,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-001,JACK DANIEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,130202020069e000000250150701,12/03/2019,หลัก ,JLD08/2019 ,26/07/2019,A0080620812781,08/08/2019,9,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,200, 190.00 ,31.0324," 1,179,231.20 ",108," 5,896.16 ",แจ๊คแดเนียล 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-002,JACK DANIEL SINGLE BARREL,6, 0.750 ,50.00%,22083000,วิสกี้,US,1302020200OFO000000810140701,07/11/2019,หลัก ,,,,,,,,,,,,,,,,แจ็ค ซิงเกิ้ล บาเรล ,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-001,JOHNNIE WALKER SPICE ROAD,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200HPF000000250150101,10/10/2017,หลัก ,,,,,,,,,,,,,,,,จอห์น วอล์เกอร์ สไปร์ต โรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-002,JOHNNIE WALKER PLATINUM 18YO ,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200EbA000000259Ba0701,20/10/2017,หลัก,,,,,,,,,,,,,,,,จอห์น วอล์เกอร์ แพล็ทตินัม 18 ปี ,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-003,JOHNNIE WALKER GOLD RESERVE ICE BULLION ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200SKl000000250150701,10/10/2017,หลัก ,,,,,,,,,,,,,,,,จอห์น วอลเกอร์ โกล รีเซิฟ ไอซ์,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-004,JOHNNIE WALKER BLUE LABEL ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I7000000250150701,10/10/2017,หลัก,JLD07/2018   ,03/07/2018,A0160610706631,16/07/2018,11,2561/0050-61-853-00393,09/07/2018,3-2-42-114049-2561,12/01/2018,20, 610.00 ,32.8452," 400,711.44 ",13," 20,035.57 ",จอห์น วอลเกอร์ บลู 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-004,JOHNNIE WALKER BLUE LABEL ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I7000000250150701,10/10/2017,หลัก,JLD18/2018  , 07/12/2018,A0170611217443,17/12/2018,6,2562/0050-62-853-00053,12/12/2018,3-2-42-114049-2561,12/01/2018,5, 630.00 ,33.1131," 104,306.27 ",5," 20,861.25 ",จอห์น วอลเกอร์ บลู 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-004,JOHNNIE WALKER BLUE LABEL ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I7000000250150701  ,10/10/2017,หลัก,JLD05/2019  ,29/04/2019,A0080620507581,08/05/2019,10,2562/0050-62-853-00223,30/04/2019,3-2-42-118498-2562,11/01/2019,5, 660.00 ,32.0022," 105,607.26 ",5," 21,121.45 ",จอห์น วอลเกอร์ บลู 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-005,JOHNNIE WALKER RED LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I6000000250150701,10/10/2017,หลัก ,JLD07/2019,10/05/2019,A0170620506430,17/05/2019,1,2562/0050-62-853-00230,13/05/2019,3-2-42-118498-2562,11/01/2019,445, 69.00 ,32.0022," 982,627.55 ",185," 2,208.15 ",จอห์น วอลเกอร์ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-005,JOHNNIE WALKER RED LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I6000000250150701,10/10/2017,หลัก,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,4,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,250, 96.00 ,31.0324," 744,777.60 ",250," 2,979.11 ",จอห์น วอลเกอร์ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-005,JOHNNIE WALKER RED LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I6000000250150701,10/10/2017,หลัก,JLD15/2019 ,17/12/2019,A0250621203797,23/12/2019,5,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,750, 96.00 ,30.3796," 2,187,331.20 ",750," 2,916.44 ",จอห์น วอลเกอร์ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-005,JOHNNIE WALKER RED LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I6000000250150701  ,10/10/2017,หลัก,JLD02/2020  ,05/02/2020,A0210630204389,21/02/2020,6,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,700, 96.00 ,30.5822," 2,055,123.84 ",700," 2,935.89 ",จอห์น วอลเกอร์ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-005,JOHNNIE WALKER RED LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I6000000250150701  ,10/10/2017,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,11,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,800, 96.00 ,31.3800," 2,409,984.00 ",800," 3,012.48 ",จอห์น วอลเกอร์ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-006,JOHNNIE WALKER BLACK LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I5000000250150701,10/10/2017,หลัก,JLD10/2019  ,08/08/2019,A0160620803125,16/08/2019,3,2562/0050-62-853-00309,09/08/2019,3-2-42-118498-2562,11/01/2019,150, 210.00 ,31.0324," 977,520.60 ",65," 6,516.80 ",จอห์น วอลเกอร์ แบล็ค 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-006,JOHNNIE WALKER BLACK LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I5000000250150701,10/10/2017,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,13,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,300, 210.00 ,30.7012," 1,934,175.60 ",300," 6,447.25 ",จอห์น วอลเกอร์ แบล็ค 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-006,JOHNNIE WALKER BLACK LABEL ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003I5000000250150701,10/10/2017,หลัก,JLD13/2019 ,01/11/2019,A0120621100553,11/11/2019,11,2563/0050-63-853-00047,07/11/2562,3-2-42-118498-2562,11/01/2019,100, 210.00 ,30.4598," 639,655.80 ",100," 6,396.56 ",จอห์น วอลเกอร์ แบล็ค 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-007,JOHNNIE WALKER DOUBLE BLACK ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200Mlw000000250150101,10/10/2017,หลัก,JLD15/2018 , 30/10/2018,A0070611105380,07/11/2018,6,2562/0050-62-853-00014,05/11/2018,3-2-42-114049-2561,12/01/2018,50, 250.00 ,32.8306," 410,382.50 ",50," 8,207.65 ",จอห์น วอล์เกอร์  ดับเบิ้ล แบล็ค 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
